altura,peso
1.5,45
1.5,56.25
1.52,46.21
1.52,57.76
1.54,47.43
1.54,59.29
1.56,48.67
1.56,60.84
1.58,49.93
1.58,62.41
1.6,51.2
1.6,64
1.62,52.49
1.62,65.61
1.64,53.79
1.64,67.24
1.66,55.11
1.66,68.89
1.68,56.45
1.68,70.56
1.7,57.8
1.7,72.25
1.72,59.17
1.72,73.96
1.74,60.55
1.74,75.69
1.76,61.95
1.76,77.44
1.78,63.37
1.78,79.21
1.8,64.8
1.8,81
1.82,66.25
1.82,82.81
1.84,67.71
1.84,84.64
1.86,69.19
1.86,86.49
1.88,70.69
1.88,88.36
1.9,72.2
1.9,90.25
1.92,73.73
1.92,92.16
1.94,75.27
1.94,94.09
1.96,76.83
1.96,96.04
1.98,78.41
1.98,98.01
2.0,80
2.0,100
2.02,81.61
2.02,102.01
2.04,83.23
2.04,104.04
2.06,84.87
2.06,106.09
2.08,86.53
2.08,108.16
